Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=256m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=256m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: ignoring option CMSTriggerPermRatio=80; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: CMSFullGCsBeforeCompaction is deprecated and will likely be removed in a future release.
Java HotSpot(TM) 64-Bit Server VM warning: Failed to reserve shared memory (errno = 22).
Java HotSpot(TM) 64-Bit Server VM warning: Failed to reserve shared memory (errno = 1).
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
39   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ypeilin/DRC_Project/solr-4.10.0/example/contexts at interval 0
49   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ypeilin/DRC_Project/solr-4.10.0/example/contexts/solr-jetty-context.xml
1164 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2344 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/tika-core-1.5.jar' to classloader
2344 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
2344 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
2344 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
2345 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
2345 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
2345 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
2346 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
2346 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/xz-1.4.jar' to classloader
2346 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
2347 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
2347 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/poi-3.10.1.jar' to classloader
2347 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
2347 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ypeilin/DRC_Project/solr-4.10.0/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
